 LN(EARNINGS/WK)   EDUC (YEARS)     EXP(YEARS)         AGE              FED             MED            KWW             IQ              WHITE
  5.8287093e+000  1.1000000e+001  2.1000000e+001  3.8000000e+001  8.0000000e+000  1.0000000e+001  3.6000000e+001  7.2000000e+001  1.0000000e+000
  5.9010194e+000  1.4000000e+001  9.0000000e+000  2.9000000e+001  0.0000000e+000  1.2000000e+001  2.9000000e+001  1.0500000e+002  1.0000000e+000
  5.3340194e+000  1.2000000e+001  1.3000000e+001  3.1000000e+001  0.0000000e+000  8.0000000e+000  3.4000000e+001  1.0100000e+002  1.0000000e+000
  6.2347093e+000  1.4000000e+001  1.1000000e+001  3.1000000e+001  0.0000000e+000  1.2000000e+001  3.7000000e+001  1.2300000e+002  1.0000000e+000
  6.6938528e+000  1.6000000e+001  1.4000000e+001  3.6000000e+001  1.2000000e+001  1.2000000e+001  4.9000000e+001  1.1300000e+002  1.0000000e+000
  6.3412171e+000  1.2000000e+001  2.0000000e+001  3.8000000e+001  1.0000000e+001  1.0000000e+001  3.6000000e+001  9.5000000e+001  1.0000000e+000
  6.8684923e+000  1.6000000e+001  1.6000000e+001  3.8000000e+001  1.2000000e+001  1.2000000e+001  5.0000000e+001  1.4500000e+002  1.0000000e+000
  5.9914160e+000  1.6000000e+001  1.0000000e+001  3.2000000e+001  1.1000000e+001  1.1000000e+001  3.5000000e+001  1.1400000e+002  1.0000000e+000
  6.8681744e+000  1.6000000e+001  7.0000000e+000  2.9000000e+001  1.6000000e+001  1.6000000e+001  3.2000000e+001  1.2400000e+002  1.0000000e+000
  6.1637093e+000  1.3000000e+001  1.6000000e+001  3.5000000e+001  8.0000000e+000  1.2000000e+001  4.0000000e+001  9.3000000e+001  1.0000000e+000
  5.7687093e+000  1.8000000e+001  1.1000000e+001  3.5000000e+001  8.0000000e+000  8.0000000e+000  3.9000000e+001  1.1500000e+002  1.0000000e+000
  6.5220308e+000  1.7000000e+001  1.1000000e+001  3.4000000e+001  1.2000000e+001  1.3000000e+001  4.1000000e+001  1.2500000e+002  1.0000000e+000
  5.5377093e+000  1.8000000e+001  1.2000000e+001  3.6000000e+001  1.6000000e+001  1.6000000e+001  3.5000000e+001  1.2800000e+002  1.0000000e+000
  5.9917093e+000  1.2000000e+001  1.6000000e+001  3.4000000e+001  0.0000000e+000  8.0000000e+000  4.0000000e+001  1.0300000e+002  1.0000000e+000
  6.5678528e+000  1.4000000e+001  1.5000000e+001  3.5000000e+001  1.2000000e+001  1.2000000e+001  4.1000000e+001  9.8000000e+001  1.0000000e+000
  7.6013179e+000  1.3000000e+001  1.3000000e+001  3.2000000e+001  1.2000000e+001  1.2000000e+001  4.1000000e+001  1.0800000e+002  1.0000000e+000
  6.2143179e+000  1.8000000e+001  1.4000000e+001  3.8000000e+001  1.8000000e+001  1.8000000e+001  4.0000000e+001  1.2900000e+002  1.0000000e+000
  6.5677093e+000  1.7000000e+001  9.0000000e+000  3.2000000e+001  1.4000000e+001  1.7000000e+001  4.2000000e+001  1.3200000e+002  1.0000000e+000
  5.7457093e+000  1.3000000e+001  1.2000000e+001  3.1000000e+001  0.0000000e+000  8.0000000e+000  2.4000000e+001  9.2000000e+001  1.0000000e+000
  6.3101779e+000  1.4000000e+001  8.0000000e+000  2.8000000e+001  8.0000000e+000  1.2000000e+001  3.9000000e+001  1.0800000e+002  0.0000000e+000
  6.2337093e+000  1.3000000e+001  1.2000000e+001  3.1000000e+001  1.2000000e+001  1.5000000e+001  3.5000000e+001  1.0600000e+002  1.0000000e+000
  5.5211779e+000  1.6000000e+001  7.0000000e+000  2.9000000e+001  1.2000000e+001  1.3000000e+001  3.7000000e+001  1.0500000e+002  1.0000000e+000
  6.0697093e+000  1.8000000e+001  1.2000000e+001  3.6000000e+001  1.2000000e+001  1.2000000e+001  4.6000000e+001  1.2300000e+002  1.0000000e+000
  5.6237093e+000  1.2000000e+001  2.0000000e+001  3.8000000e+001  7.0000000e+000  8.0000000e+000  4.8000000e+001  1.0800000e+002  1.0000000e+000
  6.2164160e+000  1.7000000e+001  1.0000000e+001  3.3000000e+001  8.0000000e+000  1.2000000e+001  4.7000000e+001  1.2200000e+002  1.0000000e+000
  6.3234923e+000  1.2000000e+001  2.0000000e+001  3.8000000e+001  0.0000000e+000  1.2000000e+001  4.4000000e+001  1.0900000e+002  1.0000000e+000
  5.6246667e+000  1.3000000e+001  1.9000000e+001  3.8000000e+001  9.0000000e+000  1.0000000e+001  4.0000000e+001  1.0000000e+002  1.0000000e+000
  6.8681630e+000  1.8000000e+001  1.0000000e+001  3.4000000e+001  1.5000000e+001  1.4000000e+001  5.0000000e+001  1.2500000e+002  1.0000000e+000
  5.9727093e+000  1.4000000e+001  1.5000000e+001  3.5000000e+001  0.0000000e+000  1.2000000e+001  4.1000000e+001  1.2200000e+002  1.0000000e+000
  5.7297093e+000  1.7000000e+001  7.0000000e+000  3.0000000e+001  1.2000000e+001  1.2000000e+001  3.4000000e+001  1.0500000e+002  1.0000000e+000
  6.3578528e+000  1.6000000e+001  1.1000000e+001  3.3000000e+001  1.2000000e+001  1.2000000e+001  3.7000000e+001  9.4000000e+001  1.0000000e+000
  6.1357093e+000  1.2000000e+001  1.6000000e+001  3.4000000e+001  0.0000000e+000  1.2000000e+001  3.6000000e+001  1.0200000e+002  1.0000000e+000
  6.1831744e+000  1.3000000e+001  1.9000000e+001  3.8000000e+001  1.0000000e+001  1.2000000e+001  4.7000000e+001  1.0900000e+002  1.0000000e+000
  6.0867093e+000  1.2000000e+001  2.0000000e+001  3.8000000e+001  1.2000000e+001  1.2000000e+001  4.5000000e+001  1.0500000e+002  1.0000000e+000
  6.1347093e+000  1.8000000e+001  1.3000000e+001  3.7000000e+001  1.2000000e+001  1.2000000e+001  4.6000000e+001  1.3400000e+002  1.0000000e+000
  6.5507093e+000  1.2000000e+001  1.1000000e+001  2.9000000e+001  9.0000000e+000  1.2000000e+001  3.2000000e+001  1.0800000e+002  1.0000000e+000
  6.2148528e+000  1.6000000e+001  8.0000000e+000  3.0000000e+001  1.1000000e+001  1.2000000e+001  3.6000000e+001  1.0400000e+002  1.0000000e+000
  5.2187093e+000  1.2000000e+001  1.1000000e+001  2.9000000e+001  0.0000000e+000  1.2000000e+001  3.5000000e+001  1.1200000e+002  1.0000000e+000
  6.0471630e+000  1.8000000e+001  8.0000000e+000  3.2000000e+001  8.0000000e+000  1.1000000e+001  4.9000000e+001  1.2000000e+002  1.0000000e+000
  6.0808528e+000  1.6000000e+001  9.0000000e+000  3.1000000e+001  1.6000000e+001  1.7000000e+001  4.0000000e+001  1.2400000e+002  1.0000000e+000
  6.3097093e+000  1.2000000e+001  1.1000000e+001  2.9000000e+001  1.0000000e+001  1.2000000e+001  3.4000000e+001  1.0300000e+002  1.0000000e+000
  6.4824923e+000  1.7000000e+001  7.0000000e+000  3.0000000e+001  1.4000000e+001  1.2000000e+001  4.5000000e+001  1.1500000e+002  1.0000000e+000
  5.7687093e+000  1.2000000e+001  1.7000000e+001  3.5000000e+001  8.0000000e+000  6.0000000e+000  3.3000000e+001  9.6000000e+001  1.0000000e+000
  6.8681630e+000  1.7000000e+001  1.3000000e+001  3.6000000e+001  1.2000000e+001  1.2000000e+001  4.8000000e+001  1.2300000e+002  1.0000000e+000
  6.1317093e+000  1.2000000e+001  1.1000000e+001  2.9000000e+001  8.0000000e+000  1.2000000e+001  3.4000000e+001  9.8000000e+001  1.0000000e+000
  6.0398528e+000  1.2000000e+001  1.7000000e+001  3.5000000e+001  8.0000000e+000  1.2000000e+001  3.4000000e+001  9.6000000e+001  1.0000000e+000
  6.0864923e+000  1.2000000e+001  2.0000000e+001  3.8000000e+001  0.0000000e+000  1.2000000e+001  4.7000000e+001  8.9000000e+001  1.0000000e+000
  5.9537093e+000  1.2000000e+001  1.9000000e+001  3.7000000e+001  7.0000000e+000  0.0000000e+000  4.3000000e+001  1.0900000e+002  1.0000000e+000
  5.5604994e+000  1.2000000e+001  1.0000000e+001  2.8000000e+001  1.1000000e+001  9.0000000e+000  2.0000000e+001  9.3000000e+001  1.0000000e+000
  5.5801744e+000  1.2000000e+001  1.5000000e+001  3.3000000e+001  9.0000000e+000  1.2000000e+001  3.2000000e+001  8.2000000e+001  1.0000000e+000
  5.4807093e+000  1.5000000e+001  1.7000000e+001  3.8000000e+001  0.0000000e+000  1.2000000e+001  4.5000000e+001  1.2000000e+002  1.0000000e+000
  6.2524160e+000  1.2000000e+001  1.4000000e+001  3.2000000e+001  0.0000000e+000  1.2000000e+001  3.8000000e+001  1.2200000e+002  1.0000000e+000
  6.6700308e+000  1.8000000e+001  9.0000000e+000  3.3000000e+001  1.8000000e+001  1.2000000e+001  4.8000000e+001  1.1700000e+002  1.0000000e+000
  6.3667093e+000  1.6000000e+001  1.4000000e+001  3.6000000e+001  8.0000000e+000  8.0000000e+000  4.4000000e+001  1.0900000e+002  1.0000000e+000
  6.8287093e+000  1.8000000e+001  1.4000000e+001  3.8000000e+001  1.6000000e+001  1.2000000e+001  5.5000000e+001  1.1400000e+002  1.0000000e+000
  6.6294923e+000  1.6000000e+001  9.0000000e+000  3.1000000e+001  1.6000000e+001  1.2000000e+001  4.0000000e+001  1.2600000e+002  1.0000000e+000
  6.2027093e+000  1.2000000e+001  1.5000000e+001  3.3000000e+001  1.1000000e+001  1.1000000e+001  4.5000000e+001  8.2000000e+001  1.0000000e+000
  5.9524923e+000  1.6000000e+001  1.0000000e+001  3.2000000e+001  9.0000000e+000  1.2000000e+001  4.5000000e+001  1.1900000e+002  1.0000000e+000
  6.1094994e+000  1.6000000e+001  1.3000000e+001  3.5000000e+001  6.0000000e+000  1.2000000e+001  3.7000000e+001  1.0400000e+002  1.0000000e+000
  6.0307093e+000  1.5000000e+001  1.4000000e+001  3.5000000e+001  1.1000000e+001  0.0000000e+000  4.9000000e+001  1.1500000e+002  1.0000000e+000
  6.2148528e+000  1.2000000e+001  1.8000000e+001  3.6000000e+001  1.2000000e+001  1.2000000e+001  4.5000000e+001  9.7000000e+001  1.0000000e+000
  5.5987093e+000  1.5000000e+001  1.0000000e+001  3.1000000e+001  1.2000000e+001  1.4000000e+001  2.7000000e+001  1.0500000e+002  1.0000000e+000
  6.0087477e+000  1.2000000e+001  1.2000000e+001  3.0000000e+001  7.0000000e+000  7.0000000e+000  3.2000000e+001  1.0000000e+002  1.0000000e+000
  6.2108528e+000  1.2000000e+001  1.3000000e+001  3.1000000e+001  1.0000000e+001  1.2000000e+001  4.1000000e+001  1.1400000e+002  1.0000000e+000
  5.6797093e+000  1.0000000e+001  2.0000000e+001  3.6000000e+001  0.0000000e+000  0.0000000e+000  2.8000000e+001  7.3000000e+001  1.0000000e+000
  6.1737093e+000  1.1000000e+001  2.0000000e+001  3.7000000e+001  8.0000000e+000  8.0000000e+000  4.8000000e+001  9.6000000e+001  1.0000000e+000
  6.2310272e+000  1.5000000e+001  8.0000000e+000  2.9000000e+001  1.6000000e+001  1.2000000e+001  3.0000000e+001  1.1300000e+002  1.0000000e+000
  5.9331630e+000  1.0000000e+001  2.0000000e+001  3.6000000e+001  1.0000000e+001  1.4000000e+001  3.8000000e+001  1.0600000e+002  1.0000000e+000
  5.7087093e+000  1.3000000e+001  1.3000000e+001  3.2000000e+001  0.0000000e+000  8.0000000e+000  3.7000000e+001  1.0400000e+002  1.0000000e+000
  5.7041779e+000  1.0000000e+001  1.7000000e+001  3.3000000e+001  1.2000000e+001  0.0000000e+000  3.9000000e+001  8.0000000e+001  1.0000000e+000
  6.0308528e+000  1.3000000e+001  1.1000000e+001  3.0000000e+001  8.0000000e+000  1.2000000e+001  3.0000000e+001  1.0400000e+002  1.0000000e+000
  5.5410194e+000  1.3000000e+001  1.1000000e+001  3.0000000e+001  1.6000000e+001  1.6000000e+001  3.6000000e+001  1.2200000e+002  1.0000000e+000
  6.0157037e+000  1.2000000e+001  1.6000000e+001  3.4000000e+001  1.3000000e+001  1.2000000e+001  3.8000000e+001  9.6000000e+001  1.0000000e+000
  6.9077093e+000  1.5000000e+001  1.5000000e+001  3.6000000e+001  1.6000000e+001  1.6000000e+001  5.1000000e+001  9.5000000e+001  1.0000000e+000
  6.1824923e+000  1.2000000e+001  1.3000000e+001  3.1000000e+001  1.7000000e+001  1.6000000e+001  2.4000000e+001  1.0500000e+002  1.0000000e+000
  5.7037093e+000  1.2000000e+001  1.9000000e+001  3.7000000e+001  8.0000000e+000  8.0000000e+000  1.8000000e+001  9.4000000e+001  0.0000000e+000
  5.8740272e+000  1.7000000e+001  1.0000000e+001  3.3000000e+001  1.4000000e+001  1.2000000e+001  4.1000000e+001  9.1000000e+001  1.0000000e+000
  5.9910308e+000  1.6000000e+001  9.0000000e+000  3.1000000e+001  1.4000000e+001  1.2000000e+001  3.7000000e+001  9.6000000e+001  1.0000000e+000
  5.5607093e+000  1.2000000e+001  1.2000000e+001  3.0000000e+001  9.0000000e+000  1.0000000e+001  3.7000000e+001  6.9000000e+001  0.0000000e+000
  6.3544712e+000  1.2000000e+001  2.0000000e+001  3.8000000e+001  1.2000000e+001  0.0000000e+000  3.7000000e+001  1.1000000e+002  1.0000000e+000
  6.2890308e+000  1.5000000e+001  1.0000000e+001  3.1000000e+001  1.2000000e+001  9.0000000e+000  4.4000000e+001  1.1100000e+002  1.0000000e+000
  5.8467093e+000  1.6000000e+001  9.0000000e+000  3.1000000e+001  1.2000000e+001  9.0000000e+000  3.5000000e+001  1.1000000e+002  1.0000000e+000
  5.7777093e+000  1.6000000e+001  7.0000000e+000  2.9000000e+001  1.2000000e+001  9.0000000e+000  3.7000000e+001  9.7000000e+001  1.0000000e+000
  6.6581744e+000  1.8000000e+001  1.1000000e+001  3.5000000e+001  8.0000000e+000  8.0000000e+000  4.4000000e+001  1.2500000e+002  1.0000000e+000
  5.8897093e+000  1.2000000e+001  1.8000000e+001  3.6000000e+001  1.0000000e+001  9.0000000e+000  3.9000000e+001  9.1000000e+001  1.0000000e+000
  5.8857093e+000  1.2000000e+001  1.9000000e+001  3.7000000e+001  1.0000000e+001  8.0000000e+000  2.8000000e+001  8.6000000e+001  1.0000000e+000
  5.5217093e+000  1.2000000e+001  1.7000000e+001  3.5000000e+001  8.0000000e+000  9.0000000e+000  3.2000000e+001  1.1000000e+002  1.0000000e+000
  6.4527093e+000  1.4000000e+001  1.6000000e+001  3.6000000e+001  0.0000000e+000  1.2000000e+001  4.7000000e+001  9.2000000e+001  1.0000000e+000
  5.9527093e+000  1.0000000e+001  2.2000000e+001  3.8000000e+001  1.2000000e+001  9.0000000e+000  4.1000000e+001  8.5000000e+001  1.0000000e+000
  6.5404923e+000  1.7000000e+001  1.1000000e+001  3.4000000e+001  8.0000000e+000  8.0000000e+000  3.6000000e+001  1.2000000e+002  1.0000000e+000
  6.3580735e+000  1.2000000e+001  1.5000000e+001  3.3000000e+001  1.2000000e+001  1.2000000e+001  4.2000000e+001  1.0600000e+002  1.0000000e+000
  6.3574923e+000  1.6000000e+001  9.0000000e+000  3.1000000e+001  1.2000000e+001  1.2000000e+001  4.1000000e+001  1.1200000e+002  1.0000000e+000
  5.9130308e+000  1.2000000e+001  2.0000000e+001  3.8000000e+001  8.0000000e+000  1.0000000e+001  3.9000000e+001  9.1000000e+001  1.0000000e+000
  6.1094923e+000  1.2000000e+001  2.0000000e+001  3.8000000e+001  1.2000000e+001  1.0000000e+001  4.2000000e+001  9.0000000e+001  1.0000000e+000
  5.8807093e+000  9.0000000e+000  2.3000000e+001  3.8000000e+001  1.2000000e+001  0.0000000e+000  3.9000000e+001  8.6000000e+001  0.0000000e+000
  6.1777093e+000  1.0000000e+001  1.6000000e+001  3.2000000e+001  0.0000000e+000  8.0000000e+000  3.2000000e+001  8.6000000e+001  0.0000000e+000
  5.7037093e+000  1.2000000e+001  1.1000000e+001  2.9000000e+001  1.2000000e+001  1.2000000e+001  2.7000000e+001  1.1300000e+002  1.0000000e+000
  5.7898528e+000  1.3000000e+001  1.9000000e+001  3.8000000e+001  9.0000000e+000  1.2000000e+001  5.1000000e+001  1.1100000e+002  1.0000000e+000
  5.6650308e+000  1.2000000e+001  1.5000000e+001  3.3000000e+001  1.2000000e+001  1.2000000e+001  3.0000000e+001  1.1100000e+002  1.0000000e+000
  5.4807093e+000  1.3000000e+001  9.0000000e+000  2.8000000e+001  7.0000000e+000  8.0000000e+000  3.2000000e+001  1.0600000e+002  1.0000000e+000
  5.1547093e+000  1.2000000e+001  1.2000000e+001  3.0000000e+001  1.1000000e+001  1.2000000e+001  2.8000000e+001  9.8000000e+001  1.0000000e+000
  6.1637093e+000  1.2000000e+001  1.2000000e+001  3.0000000e+001  1.0000000e+001  1.2000000e+001  2.8000000e+001  1.0500000e+002  1.0000000e+000
  5.5367093e+000  1.2000000e+001  1.5000000e+001  3.3000000e+001  0.0000000e+000  1.0000000e+001  2.9000000e+001  1.0500000e+002  1.0000000e+000
  6.1947093e+000  1.3000000e+001  1.3000000e+001  3.2000000e+001  9.0000000e+000  1.2000000e+001  4.4000000e+001  1.1800000e+002  1.0000000e+000
  6.2494923e+000  1.2000000e+001  1.8000000e+001  3.6000000e+001  8.0000000e+000  1.2000000e+001  3.8000000e+001  9.0000000e+001  1.0000000e+000
  5.8467093e+000  1.2000000e+001  1.4000000e+001  3.2000000e+001  8.0000000e+000  9.0000000e+000  3.4000000e+001  9.5000000e+001  1.0000000e+000
  6.0217093e+000  1.4000000e+001  9.0000000e+000  2.9000000e+001  1.2000000e+001  1.2000000e+001  2.4000000e+001  1.1200000e+002  1.0000000e+000
  6.3581630e+000  1.2000000e+001  1.4000000e+001  3.2000000e+001  1.0000000e+001  1.2000000e+001  3.9000000e+001  1.2000000e+002  1.0000000e+000
  6.1094923e+000  1.2000000e+001  1.1000000e+001  2.9000000e+001  1.0000000e+001  1.2000000e+001  4.1000000e+001  1.2300000e+002  1.0000000e+000
  6.0917093e+000  1.3000000e+001  1.1000000e+001  3.0000000e+001  1.5000000e+001  1.6000000e+001  3.2000000e+001  1.0300000e+002  1.0000000e+000
  6.8688528e+000  1.8000000e+001  1.1000000e+001  3.5000000e+001  1.8000000e+001  1.6000000e+001  4.0000000e+001  1.2100000e+002  1.0000000e+000
  6.2887093e+000  1.6000000e+001  1.6000000e+001  3.8000000e+001  1.2000000e+001  1.2000000e+001  4.4000000e+001  9.0000000e+001  1.0000000e+000
  6.2652171e+000  1.2000000e+001  1.1000000e+001  2.9000000e+001  1.2000000e+001  1.2000000e+001  3.2000000e+001  1.2500000e+002  1.0000000e+000
  6.5114923e+000  1.8000000e+001  8.0000000e+000  3.2000000e+001  8.0000000e+000  9.0000000e+000  3.4000000e+001  1.0900000e+002  1.0000000e+000
  6.5118528e+000  1.6000000e+001  1.1000000e+001  3.3000000e+001  9.0000000e+000  1.0000000e+001  4.6000000e+001  1.2800000e+002  1.0000000e+000
  6.1737093e+000  1.2000000e+001  1.3000000e+001  3.1000000e+001  1.2000000e+001  1.2000000e+001  3.5000000e+001  9.7000000e+001  1.0000000e+000
  5.2987093e+000  1.2000000e+001  1.5000000e+001  3.3000000e+001  1.2000000e+001  1.2000000e+001  3.5000000e+001  9.6000000e+001  1.0000000e+000
  6.3904923e+000  1.2000000e+001  1.0000000e+001  2.8000000e+001  8.0000000e+000  1.2000000e+001  4.4000000e+001  9.7000000e+001  1.0000000e+000
  5.8857093e+000  1.2000000e+001  1.5000000e+001  3.3000000e+001  6.0000000e+000  7.0000000e+000  2.1000000e+001  7.8000000e+001  0.0000000e+000
  5.7687093e+000  1.2000000e+001  1.6000000e+001  3.4000000e+001  0.0000000e+000  7.0000000e+000  3.9000000e+001  1.1200000e+002  1.0000000e+000
  5.7687093e+000  1.2000000e+001  2.0000000e+001  3.8000000e+001  5.0000000e+000  2.0000000e+000  3.2000000e+001  8.8000000e+001  1.0000000e+000
  6.0247093e+000  1.2000000e+001  1.8000000e+001  3.6000000e+001  1.1000000e+001  1.4000000e+001  3.9000000e+001  9.7000000e+001  1.0000000e+000
  5.9717093e+000  1.2000000e+001  1.8000000e+001  3.6000000e+001  9.0000000e+000  6.0000000e+000  4.1000000e+001  1.0100000e+002  1.0000000e+000
  5.8677093e+000  1.0000000e+001  1.8000000e+001  3.4000000e+001  1.0000000e+001  7.0000000e+000  4.2000000e+001  1.0600000e+002  1.0000000e+000
  5.2577093e+000  1.0000000e+001  1.8000000e+001  3.4000000e+001  6.0000000e+000  8.0000000e+000  2.8000000e+001  5.9000000e+001  1.0000000e+000
  5.9117093e+000  1.8000000e+001  1.0000000e+001  3.4000000e+001  1.2000000e+001  1.2000000e+001  5.4000000e+001  1.0500000e+002  1.0000000e+000
  5.4414923e+000  1.7000000e+001  8.0000000e+000  3.1000000e+001  8.0000000e+000  1.2000000e+001  3.0000000e+001  1.1900000e+002  1.0000000e+000
  6.0917093e+000  1.1000000e+001  2.0000000e+001  3.7000000e+001  8.0000000e+000  8.0000000e+000  3.6000000e+001  9.3000000e+001  1.0000000e+000
  6.3908528e+000  1.2000000e+001  1.8000000e+001  3.6000000e+001  0.0000000e+000  1.2000000e+001  3.8000000e+001  8.2000000e+001  1.0000000e+000
  7.2338528e+000  1.8000000e+001  1.0000000e+001  3.4000000e+001  1.6000000e+001  1.6000000e+001  4.5000000e+001  1.3400000e+002  1.0000000e+000
  5.7417093e+000  1.2000000e+001  1.2000000e+001  3.0000000e+001  1.2000000e+001  8.0000000e+000  2.9000000e+001  8.4000000e+001  1.0000000e+000
  6.3451744e+000  1.1000000e+001  1.4000000e+001  3.1000000e+001  1.2000000e+001  1.2000000e+001  3.6000000e+001  9.8000000e+001  1.0000000e+000
  6.3237093e+000  1.6000000e+001  8.0000000e+000  3.0000000e+001  1.2000000e+001  1.3000000e+001  4.1000000e+001  1.1800000e+002  1.0000000e+000
  6.5114923e+000  1.7000000e+001  1.0000000e+001  3.3000000e+001  8.0000000e+000  1.2000000e+001  5.0000000e+001  1.1300000e+002  1.0000000e+000
  5.5607093e+000  1.2000000e+001  1.0000000e+001  2.8000000e+001  1.1000000e+001  9.0000000e+000  1.8000000e+001  1.0000000e+002  1.0000000e+000
  5.5907093e+000  1.3000000e+001  1.0000000e+001  2.9000000e+001  1.2000000e+001  1.2000000e+001  2.7000000e+001  9.3000000e+001  1.0000000e+000
  6.1097093e+000  1.6000000e+001  1.0000000e+001  3.2000000e+001  1.0000000e+001  1.2000000e+001  3.0000000e+001  1.1900000e+002  1.0000000e+000
  5.6627129e+000  1.2000000e+001  1.5000000e+001  3.3000000e+001  4.0000000e+000  1.1000000e+001  1.9000000e+001  6.7000000e+001  0.0000000e+000
  6.0187093e+000  1.2000000e+001  1.9000000e+001  3.7000000e+001  0.0000000e+000  1.2000000e+001  2.8000000e+001  1.1100000e+002  0.0000000e+000
  7.0918528e+000  1.5000000e+001  1.1000000e+001  3.2000000e+001  1.2000000e+001  1.2000000e+001  3.8000000e+001  1.0600000e+002  1.0000000e+000
  6.6327093e+000  1.8000000e+001  1.2000000e+001  3.6000000e+001  0.0000000e+000  1.0000000e+001  4.9000000e+001  1.2700000e+002  1.0000000e+000
  5.7137093e+000  1.6000000e+001  1.1000000e+001  3.3000000e+001  1.2000000e+001  1.2000000e+001  3.5000000e+001  1.1300000e+002  1.0000000e+000
  6.2147093e+000  1.4000000e+001  9.0000000e+000  2.9000000e+001  1.2000000e+001  1.2000000e+001  3.6000000e+001  1.1500000e+002  1.0000000e+000
  6.3240308e+000  1.6000000e+001  9.0000000e+000  3.1000000e+001  0.0000000e+000  1.2000000e+001  4.0000000e+001  1.0200000e+002  1.0000000e+000
  6.0157093e+000  1.5000000e+001  8.0000000e+000  2.9000000e+001  1.2000000e+001  1.4000000e+001  2.9000000e+001  8.5000000e+001  0.0000000e+000
  6.3098528e+000  1.6000000e+001  1.0000000e+001  3.2000000e+001  1.0000000e+001  1.2000000e+001  5.1000000e+001  1.1700000e+002  1.0000000e+000
  5.5211779e+000  1.6000000e+001  6.0000000e+000  2.8000000e+001  1.0000000e+001  1.0000000e+001  3.4000000e+001  1.2500000e+002  1.0000000e+000
  6.1341779e+000  1.6000000e+001  1.5000000e+001  3.7000000e+001  1.2000000e+001  8.0000000e+000  4.7000000e+001  1.1800000e+002  1.0000000e+000
  6.4534923e+000  1.8000000e+001  1.4000000e+001  3.8000000e+001  1.6000000e+001  1.2000000e+001  4.0000000e+001  1.2100000e+002  1.0000000e+000
  6.7627093e+000  1.7000000e+001  1.5000000e+001  3.8000000e+001  1.2000000e+001  1.2000000e+001  5.1000000e+001  1.1500000e+002  1.0000000e+000
  6.5511630e+000  1.4000000e+001  1.6000000e+001  3.6000000e+001  0.0000000e+000  1.2000000e+001  4.4000000e+001  1.2000000e+002  1.0000000e+000
  6.3050308e+000  1.2000000e+001  1.7000000e+001  3.5000000e+001  6.0000000e+000  1.1000000e+001  4.3000000e+001  1.0900000e+002  1.0000000e+000
